GivenName,Surname,StreetAddress,City,State,ZipCode,EmailAddress,Gender,BloodType,Pounds
Joseph,Cadena,817 Juniper Drive,Mount Pleasant,MI,48858,JosephGCadena@dodgit.com,male,A+,143.2
Mei,Leflore,2504 Argonne Street,Philadelphia,DE,19103,MeiMLeflore@pookmail.com,female,O-,158.2
Dora,Drake,307 Ripple Street,Alma,MI,48801,DoraRDrake@trashymail.com,female,A-,111.1
Myrtis,Howard,1834 Walkers Ridge Way,Oak Brook,IL,60523,MyrtisCHoward@trashymail.com,female,B+,105.8
Kelly,Denham,2874 Briercliff Road,Brooklyn,NY,11226,KellyRDenham@trashymail.com,female,O+,188.1
Jerry,Perez,2625 Clover Drive,Colorado Springs,CO,80918,JerryHPerez@trashymail.com,male,O+,228.4
Deborah,Erickson,3800 Parker Drive,Cleveland,OH,44115,DeborahLErickson@spambob.com,female,O+,121.9
Shawn,Barth,333 Sycamore Fork Road,Plantation,FL,33324,ShawnIBarth@spambob.com,male,O+,213.2
Todd,Snyder,2548 Single Street,Boston,MA,02210,ToddRSnyder@spambob.com,male,O+,244.2
Joseph,Seymore,4844 Oakridge Lane,Dallas,TX,75287,JosephMSeymore@mailinator.com,male,A+,198.2
Paul,Berg,3188 Mulberry Lane,Miramar,FL,33025,PaulJBerg@dodgit.com,male,O+,217.8
Grace,Lemley,1479 Travis Street,Port St Lucie,FL,33452,GraceRLemley@spambob.com,female,B+,131.8
Aaron,Smith,4341 Oakwood Avenue,New York,NY,10003,AaronJSmith@mailinator.com,male,O-,231
Tiffany,Thomas,2370 Rainy Day Drive,Woburn,MA,01801,TiffanyDThomas@mailinator.com,female,B+,224.8
Louise,Good,2808 Melody Lane,Richmond,VA,23220,LouiseRGood@spambob.com,female,B+,197.6
Rosie,Black,3011 Benson Park Drive,Oklahoma City,OK,73129,RosieNBlack@dodgit.com,female,O+,145.9
Julie,Opp,2310 Luke Lane,Oklahoma City,OK,73102,JulieJOpp@trashymail.com,female,O+,192.5
Robert,Able,266 Chandler Hollow Road,Pittsburgh,PA,15201,RobertRAble@spambob.com,male,O+,226.4
Joel,Bender,1645 Bond Street,Providence,RI,02908,JoelEBender@mailinator.com,male,O+,184.1
Iris,Thompson,2075 Tea Berry Lane,Green Bay,WI,54301,IrisMThompson@trashymail.com,female,O+,130.9
Shirley,Wade,4861 Locust View Drive,San Francisco,CA,94143,ShirleyGWade@mailinator.com,female,O+,109.8
Richard,Engel,3514 Briarwood Drive,Camden,NJ,08102,RichardLEngel@dodgit.com,male,A+,178.6
Charlie,McLean,285 Kembery Drive,Chicago,IL,60605,CharlieRMcLean@trashymail.com,male,B-,204.6
Leonard,Fields,988 White Lane,Fort Smith,AR,72901,LeonardSFields@mailinator.com,male,B+,219.1
Winifred,Hitchcock,2714 Sugar Camp Road,Dodge Center,MN,55927,WinifredJHitchcock@trashymail.com,female,O+,125.4
David,Rust,4957 Limer Street,Dalton,GA,30720,DavidFRust@dodgit.com,male,O+,194.7
Regina,Jacobsen,4932 Young Road,Eagle,ID,83642,ReginaSJacobsen@pookmail.com,female,B+,138.2
Susan,Dutton,3237 Linden Avenue,Winter Park,FL,32789,SusanEDutton@dodgit.com,female,O+,145.4
Richard,Guerrero,4345 Cambridge Place,Baltimore,MD,21201,RichardNGuerrero@mailinator.com,male,B+,207.2
Anna,Williams,2311 Wilson Street,Vista,CA,92083,AnnaVWilliams@spambob.com,female,A+,128
Jerry,Ott,2283 Center Avenue,Fresno,CA,93704,JerryMOtt@dodgit.com,female,O+,186.8
George,Ward,3674 Jadewood Farms,Millburn,NJ,07041,GeorgeMWard@mailinator.com,male,A+,200.2
Lori,Brown,4330 Fleming Way,Richmond,VA,23224,LoriBBrown@pookmail.com,female,AB+,125.2
Chad,Truex,4874 Harper Street,Paducah,KY,42001,ChadDTruex@dodgit.com,male,O+,144.3
Luther,Riley,1418 Waterview Lane,Ragland,NM,88101,LutherPRiley@spambob.com,male,B+,240.9
Shannon,Burriss,888 Hudson Street,Dover,NJ,07801,ShannonDBurriss@dodgit.com,female,O+,152.5
Laraine,Bohon,4254 Leverton Cove Road,Springfield,MA,01105,LaraineABohon@trashymail.com,female,O+,192.9
Melissa,Baccus,167 Ashcraft Court,San Diego,CA,92103,MelissaBBaccus@spambob.com,female,A+,222.6
Chris,Stanfield,1721 Trymore Road,Rochester,MN,55902,ChrisCStanfield@dodgit.com,male,A+,187.9
Richard,Thomas,1282 Alfred Drive,Brooklyn,NY,11201,RichardKThomas@trashymail.com,male,A+,180.8
Robin,Workman,737 Cessna Drive,Fort Wayne,IN,46865,RobinBWorkman@mailinator.com,female,AB-,137.1
Bruce,Walker,4802 Pinnickinnick Street,Englishtown,NJ,07726,BruceCWalker@spambob.com,male,A+,233
Frank,Miller,1820 Williams Avenue,Bakersfield,CA,93301,FrankPMiller@mailinator.com,male,A+,180.2
Yvette,Thomas,3642 Paul Wayne Haggerty Road,New Orleans,LA,70087,YvetteWThomas@spambob.com,female,AB+,200.4
Stella,Robison,4884 Lowland Drive,Mchenry,IL,60050,StellaGRobison@mailinator.com,female,AB+,178.4
Wendy,Hensley,3464 Hall Valley Drive,Franklin,WV,26807,WendyWHensley@pookmail.com,female,O+,154.7
Sunday,Whitaker,3718 Poplar Street,Westchester,IL,60154,SundayCWhitaker@spambob.com,female,O+,130
Olga,Duncan,2165 Eagle Street,Cahokia,IL,62206,OlgaLDuncan@spambob.com,female,O+,171.8
Lucio,Bookman,4823 Quarry Drive,Echo,AL,36350,LucioEBookman@mailinator.com,male,A+,192.3
Matthew,Blackmon,4754 Still Street,Nova,OH,44859,MatthewCBlackmon@trashymail.com,male,A+,203.7
Anita,Malcolm,1621 Elliott Street,Manchester,NH,03101,AnitaJMalcolm@dodgit.com,female,O+,213.8
Diane,Phillips,1169 Hoffman Avenue,Huntington,NY,11743,DianeVPhillips@mailinator.com,female,B+,180.2
Edgar,Holland,4647 Post Farm Road,Clarkston,GA,30021,EdgarMHolland@dodgit.com,male,O+,232.5
Marie,Ramirez,4529 C Street,Mansfield,MA,02048,MarieERamirez@pookmail.com,female,B+,156.4
Lewis,Adair,2890 Maple Avenue,Gooding,ID,83330,LewisMAdair@trashymail.com,male,A+,201.7
Rocco,Dickson,3722 Jones Avenue,Winston Salem,NC,27101,RoccoJDickson@pookmail.com,male,O+,139.9
Alan,Howard,729 Colonial Drive,Bryan,TX,77803,AlanCHoward@pookmail.com,male,A+,145.4
Jeffery,Byrd,2618 Haven Lane,Lansing,MI,48933,JefferyCByrd@spambob.com,male,B+,148.5
Quentin,Johnson,865 Freed Drive,Stockton,CA,95204,QuentinLJohnson@trashymail.com,male,A+,242.2
William,Abels,2690 Flinderation Road,Wheeling,IL,60090,WilliamMAbels@trashymail.com,male,B+,191.6
Alfonso,Nolen,3407 Isaacs Creek Road,Chatham,IL,62629,AlfonsoPNolen@mailinator.com,male,O+,170.9
Alan,Berry,3943 Shadowmar Drive,Metairie,LA,70001,AlanCBerry@pookmail.com,male,A+,231.7
Bill,Reidy,4334 Gateway Road,Tigard,OR,97223,BillCReidy@trashymail.com,male,A+,235
Gary,Harrington,2914 Public Works Drive,La Follette,TN,37766,GaryRHarrington@mailinator.com,male,O+,157.3
Lila,Marvel,4940 West Street,Grand Rapids,MI,49503,LilaSMarvel@mailinator.com,female,O+,209.7
Ricky,Phillips,1637 Ingram Road,Burlington,NC,27244,RickyAPhillips@trashymail.com,male,O+,211.4
Thelma,Cruse,3980 Dawson Drive,Little Rock,AR,72212,ThelmaJCruse@spambob.com,female,A+,177.3
Jovita,Andrews,984 Woodland Drive,Bridgeview,IL,60455,JovitaTAndrews@dodgit.com,female,B+,133.5
Jose,Rodriguez,1222 Heron Way,Hillsboro,OR,97123,JoseDRodriguez@trashymail.com,male,O+,184.8
Scott,Forcier,3592 Carriage Court,Coachella,CA,92236,ScottPForcier@spambob.com,male,A+,190.5
Trevor,Alexander,4893 Red Maple Drive,Alhambra,CA,91801,TrevorDAlexander@spambob.com,male,B+,176.7
Shirley,Flury,2077 North Avenue,Bennet,NE,68317,ShirleyJFlury@pookmail.com,female,O+,144.3
John,Garcia,2659 Cambridge Place,Salisbury,MD,21801,JohnBGarcia@mailinator.com,male,B+,176
Karen,Watson,1559 Still Street,Toledo,OH,43602,KarenRWatson@mailinator.com,female,O+,173.8
Doris,Friend,3424 Filbert Street,Chester,PA,19013,DorisFFriend@pookmail.com,female,B+,135.5
Tracey,Haugland,4552 Ward Road,El Paso,TX,79901,TraceyBHaugland@dodgit.com,female,B+,201.7
Mirian,Latson,2886 Goodwin Avenue,Waitsburg,WA,99361,MirianJLatson@pookmail.com,female,A+,221.8
Kassandra,Poole,3909 Ingram Road,Roxboro,NC,27573,KassandraAPoole@mailinator.com,female,A+,193.8
Gerald,Kremer,3990 Meadowcrest Lane,Allen,KY,41601,GeraldMKremer@trashymail.com,male,B+,163.5
Marco,Tilford,105 Stone Lane,Tremont,PA,17981,MarcoRTilford@pookmail.com,male,O+,158.6
Elizabeth,Rutz,3253 Burnside Court,Phoenix,AZ,85003,ElizabethDRutz@spambob.com,female,O+,169.4
Charlie,Kirkpatrick,4045 Argonne Street,Philadelphia,DE,19103,CharlieKKirkpatrick@dodgit.com,male,B+,211.9
Ofelia,Dickson,502 Kildeer Drive,Sunrise,FL,33323,OfeliaCDickson@trashymail.com,female,A+,137.3
Mary,Gosha,2572 Thompson Street,Irvine,CA,92614,MaryRGosha@spambob.com,female,O+,120.3
Beatrice,Horton,2516 Twin Oaks Drive,Bellaire,MI,49615,BeatriceJHorton@mailinator.com,female,O-,111.1
Janet,James,829 Jones Street,Dallas,TX,75234,JanetCJames@pookmail.com,female,A+,174
Robert,Hill,2050 Hall Place,New Summerfield,TX,75780,RobertIHill@dodgit.com,male,A+,218.9
Megan,Head,2126 Stoney Lonesome Road,Troy,PA,16947,MeganRHead@mailinator.com,female,A+,169
Jay,Johnson,383 Flinderation Road,Bellwood,IL,60104,JayRJohnson@spambob.com,male,A-,217.4
Natividad,Diaz,4080 Eden Drive,Richmond,VA,23220,NatividadRDiaz@mailinator.com,female,A+,216.9
Frederick,Dutton,3286 Hardman Road,Bridgeport,VT,05734,FrederickMDutton@dodgit.com,male,O+,144.8
April,Soltero,4539 Alexander Avenue,San Rafael,CA,94901,AprilGSoltero@dodgit.com,female,A+,208.8
Alex,Allen,3072 Woodbridge Lane,Dearborn,MI,48126,AlexKAllen@pookmail.com,male,A+,185
Charles,Kennedy,3702 Briarwood Drive,Camden,NJ,08102,CharlesIKennedy@spambob.com,male,O+,194.9
Alice,Prout,2217 Coulter Lane,Richmond,VA,23222,AliceRProut@pookmail.com,female,O+,151.6
Wesley,Johnson,3389 Shearwood Forest Drive,Hampstead,NH,03841,WesleyVJohnson@spambob.com,male,A+,204.8
Henry,Ballard,3425 Caldwell Road,Perry,NY,14530,HenryMBallard@dodgit.com,male,O-,232.3
Linda,Fountain,738 Eagle Street,Batchtown,IL,62006,LindaJFountain@pookmail.com,female,O+,144.5
Kathleen,Ross,1972 Kemper Lane,Salt Lake City,UT,84116,KathleenARoss@trashymail.com,female,O+,151.4
Karen,Harden,2190 Glenwood Avenue,Independence,OH,44131,KarenHHarden@pookmail.com,female,O-,141
John,Alexander,537 Hickman Street,Aurora,IL,60504,JohnMAlexander@trashymail.com,male,O+,156.9
Margie,Brazelton,1858 Barfield Lane,Indianapolis,IN,46254,MargieSBrazelton@mailinator.com,female,B+,130
Shanna,Davis,4522 Flanigan Oaks Drive,Frederick,MD,21703,ShannaMDavis@spambob.com,female,B+,135.3
Austin,Davis,3363 Derek Drive,Akron,OH,44308,AustinSDavis@mailinator.com,male,A+,186.1
Carl,Duong,3898 Ross Street,Edgewood,IL,62426,CarlCDuong@dodgit.com,male,O+,157.3
Brent,Armstrong,2664 Randall Drive,Honolulu,HI,96816,BrentNArmstrong@trashymail.com,male,O-,194.5
Michael,Shunk,3680 University Hill Road,Athens,IL,62613,MichaelKShunk@trashymail.com,male,A-,140.1
Robert,Ewing,136 White Pine Lane,New Market,VA,22844,RobertJEwing@trashymail.com,male,O+,173.6
Debra,Hanson,3055 Elk Rd Little,Tucson,AZ,85716,DebraKHanson@trashymail.com,female,O-,108.7
Mark,Estrada,4322 Tennessee Avenue,Detroit,MI,48226,MarkLEstrada@dodgit.com,male,O+,136
Mark,Shane,4157 County Line Road,Tampa,FL,33614,MarkJShane@dodgit.com,male,A+,197.3
Bryan,Cayer,3011 Cinnamon Lane,San Antonio,TX,78212,BryanLCayer@trashymail.com,male,AB+,207.2
Regina,Campbell,1612 Pike Street,San Diego,CA,92128,ReginaDCampbell@dodgit.com,female,O+,177.1
Dorothy,Black,2861 Clarence Court,Fayetteville,NC,28306,DorothyGBlack@mailinator.com,female,AB+,187.9
Harry,McClay,355 Patterson Road,New York,NY,10005,HarryDMcClay@spambob.com,male,AB+,218.2
William,Gipson,1606 Metz Lane,San Diego,CA,92111,WilliamMGipson@dodgit.com,male,AB+,163.5
Sumiko,Havens,2018 Tanglewood Road,Tupelo,MS,38801,SumikoPHavens@spambob.com,female,O+,172
Stuart,Carpenter,2557 River Road,Colorado Springs,CO,80920,StuartJCarpenter@dodgit.com,male,O+,231
Anita,McNeill,4374 Hillcrest Drive,Tacoma,WA,98402,AnitaEMcNeill@mailinator.com,female,B+,164.3
Tricia,Glover,3440 Valley Drive,Philadelphia,PA,19108,TriciaSGlover@spambob.com,female,O+,154
Jimmy,Hopper,1137 Lowland Drive,Seneca,IL,61360,JimmyDHopper@mailinator.com,male,A+,236.9
Frances,Boyle,1074 Wildrose Lane,Detroit,MI,48219,FrancesCBoyle@pookmail.com,female,A+,194.7
Peter,Ramirez,1427 Mapleview Drive,Tampa,FL,33602,PeterJRamirez@trashymail.com,male,O+,234.3
Leigh,Mathews,3191 Nutters Barn Lane,Des Moines,IA,50309,LeighMMathews@spambob.com,female,O+,119.9
Bonnie,Robinson,69 Dane Street,Spokane,WA,99201,BonnieJRobinson@mailinator.com,female,O+,215.2
Joshua,Tyler,3467 Simons Hollow Road,Berwick,PA,18603,JoshuaSTyler@spambob.com,male,A+,240.2
Robert,Radford,949 Austin Secret Lane,Salt Lake City,UT,84104,RobertLRadford@spambob.com,male,A+,222.6
John,Dugger,3897 Capitol Avenue,Kokomo,IN,46901,JohnCDugger@trashymail.com,male,O+,195.8
Mary,Abbey,3897 Margaret Street,Sugar Land,TX,77478,MaryEAbbey@spambob.com,female,O+,125
Jeffrey,Vangundy,2855 Edwards Street,Greenville,NC,27834,JeffreyCVangundy@pookmail.com,male,O+,153.1
Pennie,Lowe,3047 Kincheloe Road,Portland,OR,97205,PennieALowe@pookmail.com,female,O+,168.1
George,Bowman,1871 Dovetail Drive,Burr Ridge,IL,60527,GeorgeMBowman@pookmail.com,male,O+,171.6
Jonathon,Schendel,1395 Straford Park,Cody,KY,41808,JonathonSSchendel@trashymail.com,male,B+,215.8
Robert,Martel,1760 Libby Street,Los Angeles,CA,90017,RobertYMartel@trashymail.com,male,A+,208.6
Brandi,Raftery,162 Dye Street,Tempe,AZ,85283,BrandiJRaftery@dodgit.com,female,B+,209
Mary,Wells,2968 Scenic Way,Springfield,IL,62707,MaryOWells@mailinator.com,female,AB+,153.1
Ericka,Jones,579 Davisson Street,Indianapolis,IN,46225,ErickaBJones@trashymail.com,female,A+,201.1
Ana,Griffith,1167 Dark Hollow Road,Camden,NJ,08102,AnaAGriffith@trashymail.com,female,O+,124.7
Latoya,Shepherd,3332 Fantages Way,Pembroke,ME,04666,LatoyaTShepherd@trashymail.com,female,B+,177.1
Corrine,Rios,1809 Laurel Lee,Blaine,MN,55414,CorrineJRios@spambob.com,female,A+,179.1
April,Granger,4102 Trouser Leg Road,Springfield,MA,01103,AprilDGranger@mailinator.com,female,A+,184.6
Stanley,Strode,3553 Denver Avenue,Mira Loma,CA,91752,StanleyMStrode@dodgit.com,male,B+,209.4
Anthony,Haydon,2635 Dancing Dove Lane,New York,NY,10011,AnthonyBHaydon@mailinator.com,male,O+,176
Holly,Donnellan,2791 Horner Street,Cuyahoga Falls,OH,44221,HollyEDonnellan@spambob.com,female,O+,207.7
Marvin,Yuen,4828 Cedar Street,Crawfordsville,AR,72327,MarvinAYuen@spambob.com,male,O+,181.7
John,Harrell,3120 Scenicview Drive,Longview,TX,75601,JohnTHarrell@trashymail.com,male,O+,228.1
Ronald,Rogers,2660 Lincoln Drive,Lititz,PA,17543,RonaldLRogers@dodgit.com,male,B-,244.9
Mark,Oneal,4638 Nixon Avenue,Toledo,OH,43604,MarkMOneal@trashymail.com,male,A+,158.6
Johanna,Tye,1765 Little Street,Hudson,OH,44236,JohannaSTye@trashymail.com,female,O+,149.4
Lester,Scott,1983 Red Bud Lane,Teterboro,NJ,07608,LesterHScott@pookmail.com,male,O+,196.2
Elizabeth,Robinson,1000 Kessla Way,Mount Pleasant,SC,29464,ElizabethTRobinson@trashymail.com,female,AB+,136
John,Sellers,3241 Simpson Avenue,Harrisburg,PA,17111,JohnJSellers@pookmail.com,male,O+,245.7
Delores,Dixon,3965 Abner Road,Hudson,WI,54016,DeloresRDixon@spambob.com,female,O+,169
Maxine,Martinez,1079 Pursglove Court,Dayton,OH,45402,MaxineJMartinez@spambob.com,female,O+,199.1
Peggy,Garrison,4931 Stark Hollow Road,Centennial,CO,80112,PeggyMGarrison@dodgit.com,female,AB+,136.2
Christin,Gaines,1367 Hilltop Street,Becket,MA,01223,ChristinSGaines@trashymail.com,female,O+,108.7
Samantha,Robinson,1968 Perine Street,Arlington,VA,22201,SamanthaDRobinson@spambob.com,female,O+,191.4
Marian,Rodriguez,3153 Middleville Road,Pasadena,CA,91101,MarianRRodriguez@mailinator.com,female,O+,167
Loretta,Stevens,1024 Marshall Street,Baltimore,MD,21215,LorettaRStevens@spambob.com,female,O+,158
Michael,Walker,2280 Heavner Avenue,Norcross,GA,30071,MichaelDWalker@trashymail.com,male,O+,237.4
Bradley,Smith,1437 Pyramid Valley Road,Cedar Rapids,IA,52401,BradleyBSmith@trashymail.com,male,O+,179.1
Sandra,Young,4065 Still Street,Toledo,OH,43615,SandraDYoung@trashymail.com,female,A-,225.1
Jefferey,Dunaway,1542 Mill Street,Anderson,SC,29621,JeffereyLDunaway@trashymail.com,male,A+,240
Christopher,Parrish,1434 Sussex Court,Cleburne,TX,76031,ChristopherRParrish@spambob.com,male,B+,205.3
Stephen,Canter,1553 Watson Lane,Fredericksburg,TX,78624,StephenNCanter@mailinator.com,male,O+,160.6
Harold,Jones,534 Central Avenue,Jersey City,NJ,07304,HaroldEJones@pookmail.com,male,A+,144.8
Latosha,Heuer,2525 Farland Street,Chicago,IL,60637,LatoshaEHeuer@mailinator.com,female,B+,132.9
Tiffany,Burns,1400 Logan Lane,Denver,CO,80220,TiffanyHBurns@spambob.com,female,A+,128
Joshua,King,699 Roy Alley,Centennial,CO,80112,JoshuaJKing@mailinator.com,male,O+,148.7
Brian,Connelly,4920 Jim Rosa Lane,San Francisco,CA,94107,BrianLConnelly@trashymail.com,male,B+,165
Miriam,Hahn,4043 Cerullo Road,Owenton,KY,40359,MiriamPHahn@dodgit.com,female,A+,192.5
John,Gaines,4387 Terra Cotta Street,Warba,MN,55793,JohnKGaines@spambob.com,male,B+,200.2
Ann,Cody,3900 Braxton Street,Schaumburg,IL,60173,AnnJCody@mailinator.com,female,AB+,107.1
Margaret,Martin,1636 Preston Street,Neosho Falls,KS,66758,MargaretKMartin@spambob.com,female,AB+,210.1
Joseph,Johnston,481 Thorn Street,Mountain View,WY,82939,JosephLJohnston@mailinator.com,male,A+,233.2
Joleen,Crozier,63 Spirit Drive,White Springs,FL,32096,JoleenJCrozier@dodgit.com,female,B+,157.5
Earl,Curran,3759 Badger Pond Lane,Skyway,FL,33711,EarlKCurran@trashymail.com,male,O+,242.2
Mary,Jenkins,549 Green Hill Road,Eureka Springs,AR,72632,MaryJJenkins@mailinator.com,female,B+,182.6
Pauline,Agar,4896 Locust Court,Los Angeles,CA,90014,PaulineAAgar@trashymail.com,female,A+,107.6
Kathleen,Cunningham,4399 Oakridge Farm Lane,Milwaukee,WI,53202,KathleenCCunningham@spambob.com,female,O+,174.2
Robert,Arnold,3629 Eastland Avenue,Jackson,MS,39212,RobertCArnold@dodgit.com,male,O+,253.9
Tommy,Brown,592 Carriage Lane,Pittston,PA,18640,TommyMBrown@pookmail.com,male,A+,145.4
Mark,Locke,2763 Clement Street,Atlanta,GA,30338,MarkJLocke@trashymail.com,male,B+,230.8
Wanda,Brown,4489 Star Route,Chicago,IL,60605,WandaTBrown@mailinator.com,female,B-,175.3
Michelle,Scott,1979 Byers Lane,Susanville,CA,96130,MichelleJScott@pookmail.com,female,B+,166.3
Douglas,Cooper,1580 Thompson Drive,San Francisco,CA,94107,DouglasPCooper@mailinator.com,male,A+,227
Cleo,Schuldt,1561 Pick Street,Denver,CO,80202,CleoLSchuldt@trashymail.com,male,O+,249.3
Mamie,Brown,4491 Archwood Avenue,Mountain View,WY,82939,MamieRBrown@mailinator.com,female,B+,164.3
Adam,Fong,2775 Holly Street,Royston,GA,30662,AdamBFong@mailinator.com,male,A+,207.9
Bessie,Thomas,3406 Rhapsody Street,Wildwood,FL,34785,BessieRThomas@pookmail.com,female,B-,145
Eddie,Nielsen,1302 Locust Court,Los Angeles,CA,90017,EddieANielsen@pookmail.com,female,B+,128.7
Amy,Roberts,4347 Stanton Hollow Road,Woburn,MA,01801,AmyGRoberts@pookmail.com,female,O+,188.1
Keith,Young,2355 Cambridge Court,Fort Smith,AR,72901,KeithJYoung@trashymail.com,male,A+,216.3
Stephanie,Marshall,2125 Timbercrest Road,Akiak,AK,99552,StephaniePMarshall@trashymail.com,female,A+,187
Barbara,Johnson,4309 Karen Lane,Portland,OR,97204,BarbaraHJohnson@trashymail.com,female,B-,210.3
Ronald,Hearn,1939 Oak Street,Syracuse,NY,13202,RonaldCHearn@spambob.com,male,A+,187.9
Christopher,Dixon,854 Hayhurst Lane,Southfield,MI,48235,ChristopherYDixon@mailinator.com,male,A+,183.5
Annie,French,1767 Irving Road,Worthington,OH,43085,AnnieBFrench@mailinator.com,female,B+,139.9
John,Dorado,3466 Oxford Court,Jackson,MS,39201,JohnCDorado@spambob.com,male,AB+,224.2
Elizabeth,Adams,512 Poe Road,Florence,SC,29501,ElizabethWAdams@mailinator.com,female,O-,118.8
Bertha,Owens,3098 Stonepot Road,Bedminster,NJ,07921,BerthaJOwens@mailinator.com,female,O+,128.9
Charles,Moore,3064 Rubaiyat Road,Traverse City,MI,49686,CharlesJMoore@spambob.com,male,B+,157.3
Brett,Ramos,4828 Davis Street,Athens,GA,30601,BrettARamos@spambob.com,male,A+,180
Florence,Anderson,584 Hawks Nest Lane,Stlouis,MO,63101,FlorenceTAnderson@pookmail.com,female,AB+,202.2
William,Kolb,4390 Stonecoal Road,Toledo,OH,43602,WilliamLKolb@trashymail.com,male,O+,169.2
Ruth,Emory,2627 Crowfield Road,Gilbert,AZ,85233,RuthEEmory@pookmail.com,female,B+,192.3
George,Gray,1991 Watson Lane,Valdese,NC,28690,GeorgeJGray@mailinator.com,male,O+,244.4
Margaret,Santiago,3258 Wakefield Street,Philadelphia,PA,19131,MargaretBSantiago@trashymail.com,female,A+,172.3
Christopher,Anderson,1629 Horizon Circle,Tukwila,WA,98168,ChristopherMAnderson@spambob.com,male,O+,229.5
Rebecca,Rios,4858 Tavern Place,Charleston,WV,25301,RebeccaERios@mailinator.com,female,B+,208.6
Ralph,Owsley,775 Boone Crockett Lane,Bremerton,WA,98337,RalphPOwsley@dodgit.com,male,A-,182.2
Linda,Walsh,1187 Concord Street,Charlotte,NC,28262,LindaGWalsh@mailinator.com,female,O+,147.6
William,Velasco,2483 Overlook Drive,Crawfordsville,IN,47933,WilliamJVelasco@spambob.com,male,A+,146.5
Allyson,Dietz,1772 Brentwood Drive,Austin,TX,78746,AllysonJDietz@spambob.com,female,A+,106.5
Anna,Plunkett,4088 Clay Street,Greenfield,IN,46140,AnnaMPlunkett@pookmail.com,female,O+,136.8
Betty,Pittman,1674 James Avenue,Wichita,KS,67226,BettyGPittman@trashymail.com,female,O+,115.7
Karen,Ensley,4141 Hartland Avenue,Appleton,WI,54911,KarenDEnsley@mailinator.com,female,B+,168.1
Vincent,Cooper,943 Braxton Street,Rockford,IL,61101,VincentDCooper@mailinator.com,male,A+,147.4
Malissa,Parsons,3677 Hill Street,Nova,OH,44859,MalissaAParsons@trashymail.com,female,B+,213.4
Sarah,Desroches,4593 White Pine Lane,Roanoke,VA,24011,SarahRDesroches@spambob.com,female,O+,209
Wayne,Orlando,1391 Elkview Drive,Marietta,GA,30067,WayneCOrlando@trashymail.com,male,O-,222
Florencio,Young,1421 Oak Street,Sandy Creek,NY,13145,FlorencioDYoung@spambob.com,male,A+,226.6
Chad,Kiss,4675 Star Route,Chicago,IL,60631,ChadCKiss@mailinator.com,male,A+,232.8
Luis,Bahena,2292 Raver Croft Drive,Knoxville,TN,37917,LuisJBahena@spambob.com,male,O-,238.3
Robert,Strait,1222 Oak Way,Lincoln,NE,68501,RobertKStrait@spambob.com,male,O+,187.9
William,Fuchs,4226 White Pine Lane,Front Royal,VA,22630,WilliamNFuchs@pookmail.com,male,O+,141.2
Luis,Stanfill,2789 Paul Wayne Haggerty Road,Metairie,LA,70006,LuisAStanfill@mailinator.com,male,O+,152.7
Brent,Huston,2667 Goodwin Avenue,Spokane,WA,99201,BrentGHuston@pookmail.com,male,A+,137.5
Terry,Walters,671 Arthur Avenue,Genoa,IL,60135,TerryHWalters@pookmail.com,male,O+,216.5
Emery,Lumpkin,2629 Brannon Street,Los Angeles,CA,90017,EmeryDLumpkin@pookmail.com,male,O+,219.6
Gary,Lamberth,3568 Nuzum Court,Getzville,NY,14068,GaryALamberth@dodgit.com,male,O+,148.9
Joshua,Cochran,3237 Joseph Street,Brookfield,WI,53005,JoshuaBCochran@trashymail.com,male,A+,226.8
John,Frazier,1293 River Road,Colorado Springs,CO,80903,JohnPFrazier@trashymail.com,male,AB+,251
Jeffrey,Jenkins,3529 Progress Way,Litchfield,MN,55355,JeffreyMJenkins@dodgit.com,male,A+,152.5
Susan,Torres,987 Massachusetts Avenue,Washington,DC,20024,SusanKTorres@trashymail.com,female,O+,116.6
Barbara,Long,1723 O Conner Street,Biloxi,MS,39531,BarbaraCLong@spambob.com,female,A+,205.9
Joanne,Cola,1924 Howard Street,Grand Rapids,MI,49503,JoanneDCola@trashymail.com,female,O-,207
Kenneth,Foster,357 Still Street,Toledo,OH,43604,KennethLFoster@spambob.com,male,A+,204.4
Ignacio,West,659 Masonic Hill Road,Little Rock,AR,72212,IgnacioDWest@spambob.com,male,A+,137.1
Donald,Hayes,1823 Hiddenview Drive,Huntingdon Valley,PA,19006,DonaldCHayes@dodgit.com,male,A+,161.3
Dorothy,Mayfield,3311 Horner Street,Montgomery,AL,36109,DorothyJMayfield@dodgit.com,female,B+,166.3
Patricia,Hall,2938 Tennessee Avenue,Troy,MI,48098,PatriciaAHall@trashymail.com,female,A-,123
Michael,Hole,445 Meadowbrook Mall Road,Redondo Beach,CA,90278,MichaelTHole@pookmail.com,male,A-,155.1
Kathryn,Stapleton,557 Randall Drive,Pahala,HI,96777,KathrynRStapleton@dodgit.com,female,AB+,198.2
Lettie,Boyer,2287 Hall Street,Las Vegas,NV,89101,LettieRBoyer@trashymail.com,female,A-,213.8
Brittney,Arriola,3400 Buckhannan Avenue,Syracuse,NY,13202,BrittneyPArriola@mailinator.com,female,B+,174.7
Dominique,Robinette,966 Metz Lane,San Diego,CA,92111,DominiqueJRobinette@dodgit.com,male,A+,169.6
Jason,Michaels,1304 Tree Frog Lane,Rushville,MO,64484,JasonWMichaels@spambob.com,male,O+,145.9
